Session Number,Batch Number,Batch Length (s),Batch Search Count,Batch Word Count,Batch Purity
2,26,122.2684679031372,100,40,0.4
2,25,119.96989560127258,100,51,0.51
2,24,116.49613571166992,100,41,0.41
2,23,182.24933528900146,100,21,0.21
2,22,225.64131212234497,100,22,0.22
2,21,255.50273203849792,100,33,0.33
2,20,256.2223105430603,100,32,0.32
2,19,255.8792016506195,100,20,0.2
2,18,261.3746728897095,100,20,0.2
2,17,270.5111494064331,100,58,0.58
2,16,261.81606459617615,100,54,0.54
2,15,234.50745677947998,100,56,0.56
2,14,247.9788956642151,100,26,0.26
2,13,244.72429275512695,100,41,0.41
2,12,157.00543189048767,100,37,0.37
2,11,146.28596329689026,100,52,0.52
2,10,261.668808221817,100,46,0.46
2,9,263.24036622047424,100,42,0.42
2,8,230.46906805038452,100,11,0.11
2,7,259.7610354423523,100,31,0.31
2,6,257.2666223049164,100,20,0.2
2,5,258.0632939338684,100,25,0.25
2,4,254.6341028213501,100,38,0.38
2,3,211.31358981132507,100,34,0.34
2,2,150.30405855178833,100,22,0.22
2,1,106.79052639007568,100,38,0.38
1,37,10.407036066055298,100,38,0.38
1,36,83.77302193641663,100,14,0.14
1,35,26.74048924446106,100,25,0.25
1,34,35.81602644920349,100,14,0.14
1,33,22.692042112350464,100,20,0.2
1,32,13.43509292602539,100,40,0.4
1,31,14.549371242523193,100,28,0.28
1,30,20.99711513519287,100,20,0.2
1,29,10.930664300918579,100,19,0.19
1,28,10.75647783279419,100,37,0.37
1,27,10.814136028289795,100,15,0.15
1,26,18.559504985809326,100,31,0.31
1,25,10.658991575241089,100,16,0.16
1,24,10.682235956192017,100,26,0.26
1,23,11.531105518341064,100,25,0.25
1,22,11.585291385650635,100,40,0.4
1,21,10.420586109161377,100,55,0.55
1,20,11.366695880889893,100,62,0.62
1,19,12.768921375274658,100,42,0.42
1,18,10.248261213302612,100,56,0.56
1,17,10.607280969619751,100,30,0.3
1,16,32.37821578979492,100,12,0.12
1,15,10.475629568099976,100,31,0.31
1,14,10.888617992401123,100,49,0.49
1,13,10.996891975402832,100,60,0.6
1,12,11.944412231445312,100,52,0.52
1,11,12.083361625671387,100,40,0.4
1,10,11.532549858093262,100,33,0.33
1,9,10.904798984527588,100,53,0.53
1,8,11.3097505569458,100,30,0.3
1,7,9.887659788131714,100,44,0.44
1,6,9.04919958114624,100,31,0.31
1,5,9.266684770584106,100,40,0.4
1,4,10.234581470489502,100,30,0.3
1,3,9.089496612548828,100,29,0.29
1,2,9.038884162902832,100,33,0.33
1,1,8.987747192382812,100,26,0.26
